489	7 (T S C E N M A)
Lithocarpus_gracilis	0100000
Lithocarpus_haipinii	1000000
Lithocarpus_hancei	1000000
Lithocarpus_harlandii	1000000
Lithocarpus_henryi	1000000
Lithocarpus_imperialis	0100000
Lithocarpus_javensis	0100000
Lithocarpus_laetus	1000000
Lithocarpus_lauterbachii	0100000
Lithocarpus_lepidocarpus	1000000
Lithocarpus_litseifolius	1100000
Lithocarpus_mairei	1000000
Lithocarpus_mariae	0100000
Lithocarpus_megacarpus	0100000
Lithocarpus_megalophyllus	1000000
Lithocarpus_papillifer	0100000
Lithocarpus_platycarpus	0100000
Lithocarpus_polystachyus	1100000
Lithocarpus_pulcher	0100000
Lithocarpus_pycnostachys	0100000
Lithocarpus_rassa	0100000
Lithocarpus_reinwardtii	0100000
Lithocarpus_revolutus	0100000
Lithocarpus_rotundatus	0100000
Lithocarpus_silvicolarum	1100000
Lithocarpus_solerianus	0100000
Lithocarpus_taitoensis	1000000
Lithocarpus_variolosus	1000000
Lithocarpus_wrayi	0100000
Notholithocarpus_densiflorus	0000100
Quercus_carmenensis	0000110
Quercus_chasei	0000100
Quercus_cubana	0000010
Quercus_flocculenta	0000010
Quercus_hinckleyi	0000110
Quercus_liaoi	1000000
Quercus_lowilliamsii	0000010
Quercus_michauxii	0000100
Quercus_miyagii	1000000
Quercus_mulleri	0000010
Quercus_sanchezcolinii	0000010
Quercus_splendens	0000010
Quercus_tinkhamii	0000010
Quercus_welshii	0000100
Quercus_pontica	0010000
Quercus_sadleriana	0000100
Quercus_cedrosensis	0000010
Quercus_chrysolepis	0000110
Quercus_palmeri	0000110
Quercus_tomentella	0000110
Quercus_vaccinifolia	0000100
Quercus_ajoensis	0000010
Quercus_alba	0000100
Quercus_aliena	1100000
Quercus_alveolata	0000010
Quercus_arizonica	0000110
Quercus_berberidifolia	0000110
Quercus_bicolor	0000100
Quercus_boyntonii	0000100
Quercus_canariensis	0001000
Quercus_centralis	0000010
Quercus_chihuahuensis	0000110
Quercus_congesta	0001000
Quercus_convallata	0000010
Quercus_cornelius_mulleri	0000110
Quercus_corrugata	0000010
Quercus_dentata	1000000
Quercus_depressipes	0000110
Quercus_deserticola	0000010
Quercus_diversifolia	0000010
Quercus_douglasii	0000100
Quercus_dumosa	0000110
Quercus_engelmannii	0000110
Quercus_excelsa	0000010
Quercus_fabrei	1000000
Quercus_faginea	0001000
Quercus_frainetto	0011000
Quercus_frutex	0000010
Quercus_garryana	0000100
Quercus_germana	0000010
Quercus_glabrescens	0000010
Quercus_glaucescens	0000010
Quercus_glaucoides	0000010
Quercus_greggii	0000010
Quercus_griffithii	1100000
Quercus_grisea	0000110
Quercus_hartwissiana	0010000
Quercus_havardii	0000100
Quercus_infectoria	0011000
Quercus_insignis	0000010
Quercus_intricata	0000110
Quercus_invaginata	0000010
Quercus_john_tuckeri	0000100
Quercus_laceyi	0000110
Quercus_laeta	0000010
Quercus_lancifolia	0000010
Quercus_laxa	0000010
Quercus_leiophylla	0000010
Quercus_liebmanii	0000010
Quercus_lobata	0000100
Quercus_lusitanica	0001000
Quercus_lyrata	0000100
Quercus_macdougallii	0000010
Quercus_macranthera	0010000
Quercus_macrocarpa	0000100
Quercus_magnoliifolia	0000010
Quercus_margarettae	0000100
Quercus_martinezii	0000010
Quercus_microphylla	0000010
Quercus_mohriana	0000110
Quercus_mongolica	1000000
Quercus_montana	0000100
Quercus_muehlenbergii	0000110
Quercus_oblongifolia	0000110
Quercus_obtusata	0000010
Quercus_oglethorpensis	0000100
Quercus_oocarpa	0000010
Quercus_opaca	0000010
Quercus_pacifica	0000100
Quercus_peduncularis	0000010
Quercus_perpallida	0000010
Quercus_petraea	0011000
Quercus_pilicaulis	0000010
Quercus_polymorpha	0000110
Quercus_potosina	0000010
Quercus_praeco	0000010
Quercus_prinoides	0000100
Quercus_prinopsis	0000010
Quercus_pubescens	0011000
Quercus_pungens	0000110
Quercus_purulhana	0000010
Quercus_pyrenaica	0001000
Quercus_rekonis	0000010
Quercus_repanda	0000010
Quercus_resinosa	0000010
Quercus_robur	0011000
Quercus_rugosa	0000110
Quercus_schenkiana	0000010
Quercus_segoviensis	0000010
Quercus_serrata	1100000
Quercus_similis	0000100
Quercus_sinuata	0000110
Quercus_stellata	0000100
Quercus_striatula	0000010
Quercus_toumeyi	0000110
Quercus_toxicodendrifolia	0000010
Quercus_transmontana	0000010
Quercus_tuberculata	0000010
Quercus_turbinella	0000110
Quercus_vaseyana	0000110
Quercus_verde	0000010
Quercus_vicentensis	0000010
Quercus_wutaishanica	1000000
Trigonobalanus_doichangensis	1100000
Trigonobalanus_excelsa	0000010
Quercus_brandegeei	0000010
Quercus_fusiformis	0000110
Quercus_geminata	0000100
Quercus_oleoides	0000010
Quercus_virginiana	0000110
