ID,Genus,subgenus,Taxon/species,Stage_mean,Type,Latitude,Longitude
1967,Castanopsis,,Castanopsis sp.,Rupelian,pollen,41.5,1.35
1840,Castanopsis,,Castanopsis type,Rupelian,pollen,41.47,1.14
2489,Castanopsis,,Castanopsis sp.,Ypresian,pollen,43.3,134.1
1975,Castanopsis,,Castanopsis sp.,Rupelian,pollen,63.96,58.6
2727,Castanopsis,,?Castanopsis type,Lutetian,pollen,19.63416667,110.4511111
1752,Castanopsis,,Castanopsis sp.,Rupelian,pollen,41.72,42.95
1886,Castanopsis,,Castanopsis sp.,Rupelian,pollen,54.46,73.3
1937,Castanopsis,,Castanopsis sp.,Rupelian,pollen,54.46,73.3
2424,Castanopsis,,Castanopsis sp.,Priabonian,pollen,44.1,135.1
2291,Castanopsis,,Castanopsis sp.,Rupelian,pollen,42.45,130.4
2356,Castanopsis,,Castanopsis sp.,Rupelian,pollen,44.15,135.3
2408,Castanopsis,,Castanopsis sp.,Priabonian,pollen,43.6,132.3
2513,Castanopsis,,Castanopsis sp.,Ypresian,pollen,45.1,133.4
2466,Castanopsis,,Castanopsis sp.,Lutetian,pollen,46.3,134.2
2522,Castanopsis,,Castanopsis sp.,Ypresian,pollen,46.3,134.2
2274,Castanopsis,,Castanopsis sp.,Chattian,pollen,44.05,132.05
2329,Castanopsis,,Castanopsis sp.,Rupelian,pollen,44.05,132.05
2496,Castanopsis,,Castanopsis sp.,Ypresian,pollen,44.1,132.4
2474,Castanopsis,,Castanopsis sp.,Ypresian,pollen,43.2,131.5
2459,Castanopsis,,Castanopsis sp.,Lutetian,pollen,43.4,131.3
2535,Castanopsis,,Castanopsis sp.,Thanetian,pollen,46.17,137.78
2114,Castanopsis,,Castanopsis pseudocingulum,Lutetian,pollen,21.5,110.8
418,Castanopsis,,"Castaneoideae gen. et sp. indet., sp. 1, aff. Castanopsis",Priabonian,pollen,38.965589,-105.285327
636,Castanopsis,,Castanopsis sp.,Priabonian,pollen,42.65833333,130.7833333
606,Castanopsis,,Castanopsis sp.,Ypresian,pollen,72.33333333,128.5
290,Castanopsis,,Castanopsis pseudocingulum (Potonie) Boitzova,Priabonian,pollen,21.70922222,110.8887222
285,Castanopsis,,Castanopsis pseudocingulum (Potonie) Boitzova,Lutetian,pollen,21.70922222,110.8887222
295,Castanopsis,,Castanopsis pseudocingulum (Potonie) Boitzova,Lutetian,pollen,21.84580556,110.7613056
304,Castanopsis,,Castanopsis pseudocingulum (Potonie) Boitzova,Priabonian,pollen,21.87986111,110.6684167
302,Castanopsis,,Castanopsis pseudocingulum (Potonie) Boitzova,Lutetian,pollen,21.87986111,110.6684167
103,Castanopsis,,cf. Castanopsis sp. 1 of Waiter 1965,Thanetian,pollen,33.804001,-117.761095
305,Castanopsis,,Castanopsis pseudocingulum (Potonie) Boitzova,Rupelian,pollen,21.84422778,110.7785556
487,Castanopsis,,Castaneoideae sp. 2 (aff. Castanopsis cuspidata),Lutetian,pollen,43.306065,132.383889
618,Castanopsis,,Castanopsis sp.,Ypresian,pollen,46.597986,134.236485
20,Castanopsis,,"Castanopsis nanningensis Huang, Jin, Quan et Oskolski sp. nov.",Chattian,macrofossil,22.88055556,108.4172222
21,Castanopsis,,"Castanopsis guangxiensis Huang, Jin, Quan et Oskolski sp. nov.",Chattian,macrofossil,22.88055556,108.4172222
25,Castanopsis,,Castanopsis sp. D1-2769,Rupelian,macrofossil,34.712448,135.085891
912,Castanopsis,,"Castanopsis sp., C. timensis (Palib.) Iljinskaja",Lutetian,macrofossil,51.744199,36.190748
903,Chrysolepis,,Castanopsis chrysophylloides Lesq.,Lutetian,macrofossil,39.21629,-120.8805
1001,Lithocarpus,,Lithocarpus sp.,Rupelian,macrofossil,45.108315,-113.807796
440,Lithocarpus,,Lithocarpus sp.,Lutetian,macrofossil,40.275869,-108.354226
40,Lithocarpus,,Lithocarpus changchangensis X-Y Liu et J-H Jin sp. nov.,Lutetian,macrofossil,19.63416667,110.4511111
1948,Lithocarpus,,Lithocarpus pulchra,Chattian,macrofossil,45.41,23.35
151,Lithocarpus,,Lithocarpus cf. corneus (Lour.) Rehd.,Rupelian,macrofossil,21.04520278,107.0322861
68,Lithocarpus,,"Lithocarpus saxonicus Walther & Kvacek, spec. nova",Rupelian,macrofossil,51.188811,14.507649
483,Lithocarpus,,"Lithocarpus timensis Vikulin, sp. nov.",Priabonian,macrofossil,51.744199,36.190748
1902,Lithocarpus,,Lithocarpus saxonicus Walther & Kvacek 1987,Chattian,macrofossil,51.26,14.61
1846,Lithocarpus,,Lithocarpus saxonicus Walther & Kvacek 1987,Chattian,macrofossil,51.27,14.62
998,Lithocarpus,,Lithocarpus sp.,Lutetian,macrofossil,44.742657,-115.065692
622,Lithocarpus,,Lithocarpus matsumotoi Huz. et Takahasi,Priabonian,macrofossil,44.091395,131.978217
1079,Lithocarpus,,Lithocarpus angustus Tao,Rupelian,macrofossil,23.519375,100.704566
1081,Lithocarpus,,Lithocarpus reniifolius "reniifolium" Tao,Rupelian,macrofossil,23.519375,100.704566
2715,Lithocarpus,,Lithocarpus type,Ypresian,pollen,47.843177,13.068521
2028,Lithocarpus,,Lithocarpus sp.,Ypresian,pollen,43.7,125.8
2030,Lithocarpus,,Lithocarpus sp.,Lutetian,pollen,43.7,125.8
420,Lithocarpus,,"Castaneoideae gen. et sp. indet., sp. 3, aff. Lithocarpus",Priabonian,pollen,38.965589,-105.285327
892,Notholithocarpus,,Lithocarpus weidei Axelrod,Rupelian,macrofossil,43.595709,-111.692769
7,Quercus,Cerris,Quercus paleocarpa Manchester,Ypresian,macrofossil,44.94333333,-120.4261111
717,Quercus,Cerris,Quercus nanningensis X.Y. Liu et J.H. Jin sp. nov.,Chattian,macrofossil,22.88055556,108.4172222
718,Quercus,Cerris,Quercus yongningensis X.Y. Liu et J.H. Jin sp. nov.,Chattian,macrofossil,22.88055556,108.4172222
715,Quercus,Cerris,Quercus paleodisciformis X.Y. Liu et J.H. Jin sp. nov.,Chattian,macrofossil,22.88055556,108.4172222
147,Quercus,Cerris,"Quercus shangcunensis Liu, Han & Jin sp. nov.",Rupelian,macrofossil,22.16666667,111.4833333
