FBD_tiplabel,renameSequencingData,Name.v3,nicheRecon,genus,gen_sect.abb
LPsolerianus_F112_WB03_0,LPsolerianus_F112_WB03,Lithocarpus_solerianus,Y,Lithocarpus,LP
LPtaitoensis_F118_WG03_0,LPtaitoensis_F118_WG03,Lithocarpus_taitoensis,Y,Lithocarpus,LP
LPvariolosus_U03_WH05_0,LPvariolosus_U03_WH05,Lithocarpus_variolosus,Y,Lithocarpus,LP
LPwrayi_F116_WG03_0,LPwrayi_F116_WG03,Lithocarpus_wrayi,Y,Lithocarpus,LP
NLdensiflorus_K003_WA07_0,NLdensiflorus_K003_WA07,Notholithocarpus_densiflorus,Y,Notholithocarpus,NL
CEacutissima_F087_WB04_A_0,CEacutissima_F087_WB04_A,Quercus_acutissima,Y,Quercus,CE
CEafares_P005_WC11_A_0,CEafares_P005_WC11_A,Quercus_afares,Y,Quercus,CE
CEcastaneifolia_P002_WC06_A_0,CEcastaneifolia_P002_WC06_A,Quercus_castaneifolia,Y,Quercus,CE
CEcerris_trans_A_0,CEcerris_trans_A,Quercus_cerris,Y,Quercus,CE
CEithaburensis_P002_WE12_A_0,CEithaburensis_P002_WE12_A,Quercus_ithaburensis,Y,Quercus,CE
CElibani_P004_WD10_A_0,CElibani_P004_WD10_A,Quercus_libani,Y,Quercus,CE
CEsuber_F079_WC02_A_0,CEsuber_F079_WC02_A,Quercus_suber,Y,Quercus,CE
CEtrojana_P002_WF07_A_0,CEtrojana_P002_WF07_A,Quercus_trojana,Y,Quercus,CE
CEvariabilis_trans_A_0,CEvariabilis_trans_A,Quercus_variabilis,Y,Quercus,CE
CYannulata_P030_WC01_A_0,CYannulata_P030_WC01_A,Quercus_annulata,Y,Quercus,CY
CYasymmetrica_P014_WG01_A_0,CYasymmetrica_P014_WG01_A,Quercus_asymmetrica,Y,Quercus,CY
CYaugustinii_P010_WE11_A_0,CYaugustinii_P010_WE11_A,Quercus_augustinii,Y,Quercus,CY
CYauricoma_F097_WH09_ANU_0,CYauricoma_F097_WH09_ANU,Quercus_auricoma,Y,Quercus,CY
CYaustrocochinchinensis_P001_WB05_A_0,CYaustrocochinchinensis_P001_WB05_A,Quercus_austrocochinchinensis,Y,Quercus,CY
CYchapensis_P010_WE04_A_0,CYchapensis_P010_WE04_A,Quercus_chapensis,Y,Quercus,CY
CYchevalieri_P003_WE03_A_0,CYchevalieri_P003_WE03_A,Quercus_chevalieri,Y,Quercus,CY
CYchrysotricha_P017_WB09_A_0,CYchrysotricha_P017_WB09_A,Quercus_chrysotricha,Y,Quercus,CY
CYchungii_P010_WC03_A_0,CYchungii_P010_WC03_A,Quercus_chungii,Y,Quercus,CY
CYciliaris_F039_WB10_SNP_0,CYciliaris_F039_WB10_SNP,Quercus_ciliaris,Y,Quercus,CY
CYdaimingshanensis_P003_WE02_A_0,CYdaimingshanensis_P003_WE02_A,Quercus_daimingshanensis,Y,Quercus,CY
CYdelavayi_F100_WA04_A_0,CYdelavayi_F100_WA04_A,Quercus_delavayi,Y,Quercus,CY
CYdisciformis_P001_WH01_A_0,CYdisciformis_P001_WH01_A,Quercus_disciformis,Y,Quercus,CY
CYedithiae_P010_WE12_A_0,CYedithiae_P010_WE12_A,Quercus_edithiae,Y,Quercus,CY
CYgaharuensis_P008_WG02_A_0,CYgaharuensis_P008_WG02_A,Quercus_gaharuensis,Y,Quercus,CY
CYgambleana_F100_WA07_A_0,CYgambleana_F100_WA07_A,Quercus_gambleana,Y,Quercus,CY
CYglauca_F098_WA02_A_0,CYglauca_F098_WA02_A,Quercus_glauca,Y,Quercus,CY
CYhelferiana_F118_WG08_A_0,CYhelferiana_F118_WG08_A,Quercus_helferiana,Y,Quercus,CY
CYhondae_P005_WD07_A_0,CYhondae_P005_WD07_A,Quercus_hondae,Y,Quercus,CY
CYhypargyrea_P010_WE06_ANP_0,CYhypargyrea_P010_WE06_ANP,Quercus_hypargyrea,Y,Quercus,CY
CYhypophaea_P004_WF06_A_0,CYhypophaea_P004_WF06_A,Quercus_hypophaea,Y,Quercus,CY
CYjenseniana_P011_WF06_A_0,CYjenseniana_P011_WF06_A,Quercus_jenseniana,Y,Quercus,CY
CYkinabaluensis_P002_WF02_A_0,CYkinabaluensis_P002_WF02_A,Quercus_kinabaluensis,Y,Quercus,CY
CYkouangsiensis_P001_WE08_A_0,CYkouangsiensis_P001_WE08_A,Quercus_kouangsiensis,Y,Quercus,CY
CYlineata_F105_WA04_A_0,CYlineata_F105_WA04_A,Quercus_lineata,Y,Quercus,CY
CYlitseoides_F086_WG09_A_0,CYlitseoides_F086_WG09_A,Quercus_litseoides,Y,Quercus,CY
CYlobbii_P004_WD03_A_0,CYlobbii_P004_WD03_A,Quercus_lobbii,Y,Quercus,CY
CYlonginux_U03_WC07_A_0,CYlonginux_U03_WC07_A,Quercus_longinux,Y,Quercus,CY
CYmeihuashanensis_P001_WE09_SNU_0,CYmeihuashanensis_P001_WE09_SNU,Quercus_meihuashanensis,Y,Quercus,CY
CYmerrillii_P005_WD01_A_0,CYmerrillii_P005_WD01_A,Quercus_merrillii,Y,Quercus,CY
CYmespilifolia_P005_WG09_A_0,CYmespilifolia_P005_WG09_A,Quercus_mespilifolia,Y,Quercus,CY
CYmorii_P010_WB12_A_0,CYmorii_P010_WB12_A,Quercus_morii,Y,Quercus,CY
CYmultinervis_F118_WG05_SNK_0,CYmultinervis_F118_WG05_SNK,Quercus_multinervis,Y,Quercus,CY
CYmyrsinifolia_F087_WB10_A_0,CYmyrsinifolia_F087_WB10_A,Quercus_myrsinifolia,Y,Quercus,CY
CYoidocarpa_P005_WB02_A_0,CYoidocarpa_P005_WB02_A,Quercus_oidocarpa,Y,Quercus,CY
CYoxyodon_F087_WB01_A_0,CYoxyodon_F087_WB01_A,Quercus_oxyodon,Y,Quercus,CY
CYpachyloma_P005_WG08_A_0,CYpachyloma_P005_WG08_A,Quercus_pachyloma,Y,Quercus,CY
CYpercoriacea_P005_WB03_A_0,CYpercoriacea_P005_WB03_A,Quercus_percoriacea,Y,Quercus,CY
CYphanera_P010_WC01_A_0,CYphanera_P010_WC01_A,Quercus_phanera,Y,Quercus,CY
CYpinbianensis_P001_WE12_SNS_0,CYpinbianensis_P001_WE12_SNS,Quercus_pinbianensis,Y,Quercus,CY
CYrex_P001_WD08_A_0,CYrex_P001_WD08_A,Quercus_rex,Y,Quercus,CY
CYsalicina_P011_WF11_A_0,CYsalicina_P011_WF11_A,Quercus_salicina,Y,Quercus,CY
CYschottkyana_F087_WB06_A_0,CYschottkyana_F087_WB06_A,Quercus_schottkyana,Y,Quercus,CY
CYsemiserrata_F086_WG12_A_0,CYsemiserrata_F086_WG12_A,Quercus_semiserrata,Y,Quercus,CY
CYsessilifolia_F079_WB10_A_0,CYsessilifolia_F079_WB10_A,Quercus_sessilifolia,Y,Quercus,CY
CYsichourensis_P001_WE10_A_0,CYsichourensis_P001_WE10_A,Quercus_sichourensis,Y,Quercus,CY
CYstenophylloides_P008_WA02_A_0,CYstenophylloides_P008_WA02_A,Quercus_stenophylloides,Y,Quercus,CY
CYstewardiana_F100_WA06_A_0,CYstewardiana_F100_WA06_A,Quercus_stewardiana,Y,Quercus,CY
CYthomsoniana_P005_WB01_A_0,CYthomsoniana_P005_WB01_A,Quercus_thomsoniana,Y,Quercus,CY
